"KNOEMA_COMMODITY_GROUP","KNOEMA_PRICE_DETAIL","MO_PRICE_TYPE","KNOEMA_MARKET","KNOEMA_UNITS","RELEASE","API_KEY","Unit","Date","Value"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M4","100"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M5","98.6926"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M6","98.5109"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M7","94.9745"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M8","95.4589"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M9","93.6632"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M10","94.3329"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M11","93.2779"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1994M12","93.9651"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M1","94.2073"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M2","94.997"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M3","103.6092"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M4","105.0163"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M5","104.7404"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M6","108.1183"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M7","106.4532"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M8","106.9465"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M9","101.7168"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M10","100.4256"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M11","99.524"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1995M12","98.5037"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M1","96.826"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M2","96.3249"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M3","94.7207"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M4","96.528"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M5","95.8611"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M6","95.8247"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M7","96.5523"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M8","95.96"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M9","97.0461"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M10","96.971"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M11","96.7735"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1996M12","96.6593"
"Steel - Carbon","Price indicator, CRUspi Longs","Nominal","Global","Index","Current","4edbquwf5lh78mbhviivg2l14jma47d7","Index","1997M1","96.9153"
